,depth,min,max,median,mean
122,195.0,1298.5,10215.63,9027.85,8937.89
123,196.0,1298.57,10297.57,9047.3,8956.88
124,197.0,1298.64,10379.5,9064.76,8975.86
125,198.0,1298.7,10461.44,9087.37,8994.85
126,199.0,1298.71,10550.93,9105.3,9014.54
127,200.0,1298.72,10754.42,9123.32,9034.23
128,201.0,1298.73,10957.91,9143.93,9053.93
129,202.0,1298.74,11161.4,9162.11,9073.62
130,203.0,1298.75,11364.88,9181.14,9093.31
131,204.0,1298.79,11380.6,9198.38,9109.75
132,205.0,1298.83,11396.31,9220.29,9126.19
133,206.0,1298.87,11412.03,9238.97,9142.64
134,207.0,1298.91,11427.75,9260.97,9159.08
135,208.0,1298.95,11443.46,9277.84,9175.52
136,209.0,1299.06,11450.53,9297.98,9195.12
137,210.0,1299.16,11457.59,9316.15,9214.72
138,211.0,1299.26,11464.66,9335.36,9234.32
139,212.0,1299.37,11471.73,9355.04,9253.92
140,213.0,1299.47,11478.79,9374.69,9273.52
141,214.0,1299.54,11519.75,9394.38,9298.31
142,215.0,1299.6,11560.7,9413.65,9323.11
143,216.0,1299.67,11601.66,9434.25,9347.91
144,217.0,1299.73,11642.61,9458.55,9372.71
145,218.0,1299.8,11683.57,9479.55,9397.5
146,219.0,1299.83,11699.29,9514.08,9430.53
147,220.0,1299.86,11715.0,9543.37,9463.56
148,221.0,1299.89,11730.72,9570.31,9496.59
149,222.0,1299.92,11746.44,9600.4,9529.62
150,223.0,1299.95,11762.16,9628.82,9562.65
151,224.0,1299.99,11785.22,9668.68,9597.72
152,225.0,1300.03,11808.28,9704.97,9632.79
153,226.0,1300.07,11831.33,9738.36,9667.86
154,227.0,1300.12,11854.39,9772.53,9702.93
155,228.0,1300.16,11877.45,9807.63,9738.0
156,229.0,1300.27,11925.31,9850.24,9776.29
157,230.0,1300.38,11973.16,9887.21,9814.58
158,231.0,1300.49,12021.01,9928.68,9852.87
159,232.0,1300.6,12068.86,9971.85,9891.17
160,233.0,1300.71,12116.71,10012.84,9929.46
161,234.0,1300.75,12174.52,10051.22,9965.08
162,235.0,1300.78,12232.33,10085.42,10000.69
163,236.0,1300.82,12290.13,10112.53,10036.31
164,237.0,1300.86,12347.94,10142.93,10071.92
165,238.0,1300.89,12405.75,10173.28,10107.54
166,239.0,1300.92,12456.68,10206.42,10142.35
167,240.0,1300.95,12507.62,10245.43,10177.16
168,241.0,1300.98,12558.55,10279.79,10211.97
169,242.0,1301.01,12609.49,10319.98,10246.78
170,243.0,1301.04,12660.42,10349.16,10281.59
171,244.0,1301.22,12683.56,10377.05,10314.09
172,245.0,1301.4,12706.7,10407.68,10346.59
173,246.0,1301.58,12729.84,10434.77,10379.08
174,247.0,1301.77,12752.98,10461.94,10411.58
175,248.0,1301.95,12776.11,10492.7,10444.08
176,249.0,1301.99,12797.6,10532.88,10478.46
177,250.0,1302.03,12819.09,10565.38,10512.84
178,251.0,1302.07,12840.57,10604.36,10547.22
179,252.0,1302.11,12862.06,10635.02,10581.61
180,253.0,1302.15,12883.55,10666.93,10615.99
181,254.0,1302.18,12888.43,10704.85,10654.76
